Mods count: 302
 
                                     jar name                                      |     notes     |                 mod id                 |                               mod name                                |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
BandwidthOptimizer-2.8.16.38-forge-1.20.1.jar                                      |               | bandwidthoptimizer                     | BandwidthOptimizer                                                    | 2.8.16.38                    | bandwidthoptimizer.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 2f4518f01b0f2407d9e1100c113a33363d69436c | 110535401      
    /META-INF/bandwidthoptimizer/libs/zstd-jni-1.5.7-7.jar                         |               |                                        |                                                                       |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/TorqueAPI-1.20.1-forge-1.2.2.jar                              |               | torqueapi                              | TorqueAPI                                                             | 1.2.2                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
better_climbing-forge-3.jar                                                        |               | better_climbing                        | Better Climbing                                                       | 3                            | better_climbing.xplat_mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 74558f3499d9e5e1f4e29e0163781c594df52eb8 | 309488169      
Better_Trial_Chambers-1.2.1-forge-1.20.1.jar                                       | MCreator mod  | minecraft_121_update                   | Better Trial Chambers                                                 | 1.2.1                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 06ada42ff763cca523f9f132085a5ed998c8c1bc | 120517819      
BetterAdvancements-Forge-1.20.1-0.4.2.60.jar                                       |               | betteradvancements                     | Better Advancements                                                   | 0.4.2.60                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 42be4c5315133a8059c27e15c41b22edc26e9a98 | 1524448844     
BetterCompatibilityChecker-forge-4.0.8+mc1.20.1.jar                                |               | bcc                                    | Better Compatibility Checker                                          | 4.0.8                        | bcc.mixins.json, bcc.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                       | c5407cfd0b38d8db6d6f1c0088397f4c5616c7ae | 2251038378     
betterf3-1.20.1-1.0.jar                                                            |               | betterf3                               | Better F3                                                             | 1.0                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | aeb21493cd1ebc8e6fe97adfe248e6185700e818 | 1100665592     
betterfpsdist-1.20.1-6.0.jar                                                       |               | betterfpsdist                          | betterfpsdist mod                                                     | 1.20.1-6.0                   | betterfpsdist.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 8e4fe2cd85c08c24ab363b47a63d1c872fc3cc1e | 514915357      
blessfulled-0.6.jar                                                                |               | blessfulled                            | Blessfulled                                                           | 0.6                          | blessfulled.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | a8a3ad55d993eea95ba4b4edbe0a7dafce897b39 | 3303635114     
blueprint-1.20.1-7.1.4.jar                                                         |               | blueprint                              | Blueprint                                                             | 7.1.3                        | blueprint.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 10ee193ad755b03eceb0791a6f5257755feebcfe | 3867555674     
Bookshelf-Forge-1.20.1-20.2.15.jar                                                 |               | bookshelf                              | Bookshelf                                                             | 20.2.15                      | bookshelf.forge.mixins.json, bookshelf.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                    | 9df4908f606c6dc62a358b3e04e3fdedba59a12c | 4263061721     
bossesunleashed-1.0.4-hotfix.jar                                                   |               | bossesunleashed                        | Bosses Unleashed                                                      | 1.0.4                        | unleashed.mixin.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 21d98e25406e44a580450279c0becbb0aedbe0c5 | 2916149556     
caelus-forge-3.2.0+1.20.1.jar                                                      |               | caelus                                 | Caelus API                                                            | 3.2.0+1.20.1                 | caelus.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | fa834f140bf7dce7b67c29b46cb531f4309d3209 | 2212904341     
CasesMod-forge-1.1.0-1.20.1.jar                                                    |               | casesmod                               | CasesMod                                                              | 1.0.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | b97dd91eac1005bcdd9f29eef72b0f324ab30a13 | 2437114461     
cataclysm_spellbooks-1.2.9-1.20.1-all.jar                                          |               | cataclysm_spellbooks                   | Cataclysm: Spellbooks                                                 | 1.2.9-1.20.1                 | mixins.cataclysm_spellbooks.json                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 57fbb161849fca19aa12632944b01ce12760c4c4 | 2721574073     
